kata 1;;;;
"array  ";index;index <= 25;retorno;
[  ];1;true;1;
1;2;true;2;
2;3;true;3;
3;4;true;4;
4;5;true;5;
;;;;
kata 2;;;;
"array ";"index ";index >= 1;retorno;
[  ];25;true;25;
25;24;true;24;
24;23;true;23;
23;22;true;22;
22;21;true;21;
;;;;
kata 3;;;;
"array ";"index ";index >= 1;retorno;
[   ];-1;true;-1;
-1;-2;true;-2;
-2;-3;true;-3;
-3;-4;true;-4;
-4;-5;true;-5;
;;;;
"kata 4 ";;;;
"array ";"index ";index >= 1;retorno;
[  ];-25;true;-25;
-25;-24;true;-24;
-24;-23;true;-23;
-23;-22;true;-22;
-22;-21;true;-21;
;;;;
kata 5;;;;
"array ";"index ";index <= 25;if (index % 2 != 0);retorno
[  ];-25;true;true;-25
-25;-24;true;true;-24
-24;-23;true;true;-23
-23;-22;true;true;-22
-22;-21;true;true;-21
;;;;
kata 6;;;;
"array ";"index ";index <= 100;if (index % 3 == 0);retorno
[  ];1;true;true;3
3;2;true;true;6
6;3;true;true;9
9;4;true;true;12
12;5;true;true;15
;;;;
kata 7;;;;
"array ";"index ";index <= 100;if (index % 7 == 0);retorno
[  ];1;true;true;7
7;2;true;true;14
14;3;true;true;21
21;4;true;true;28
28;5;true;true;35
;;;;
kata 8;;;;
"array ";"index ";index >= 1;if(index % 3 == 0 || index % 7 == 0);retorno
[  ];100;true;true;99
99;99;true;true;98
98;98;true;true;96
96;97;true;true;93
93;96;true;true;91
;;;;
kata 9;;;;
"array ";"index ";index <= 100;" if (index % 5 == 0 && index % 2 != 0)";retorno
[  ];1;true;true;5
5;2;true;true;15
15;3;true;true;25
25;4;true;true;35
35;5;true;true;45
;;;;
kata 10;;;;
retorno;;;;
469;;;;
755;;;;
244;;;;
245;;;;
758;;;;
;;;;
kata 11;;;;
array;index;index < sampleArray.length;if (sampleArray[index] % 2 == 0);retorno
[  ];0;true;true;244
244;1;true;true;758
758;2;true;true;450
450;3;true;true;302
302;4;true;true;712
;;;;
kata 12;;;;
array;index;index < sampleArray.length;if (sampleArray[index] % 2 != 0);retorno
[  ];0;true;true;469
469;1;true;true;755
755;2;true;true;245
245;3;true;true;17
17;4;true;true;71
;;;;
kata 13;;;;
array;index;index < sampleArray.length;if (sampleArray[index] % 8 == 0);retorno
[  ];0;true;true;712
712;1;true;true;456
456;2;true;true;848
848;3;true;true;472
;;;;
kata 14;;;;
array;index;index < sampleArray.length;retorno;
[  ];0;true;219961;
219961;1;true;570025;
570025;2;true;59536;
59536;3;true;60025;
60025;4;true;574564;
;;;;
kata 15;;;;
"contador ";index;index < =20;retorno;
0;1;true;210;
;;;;
;;;;
;;;;
;;;;
;;;;
kata 16;;;;
contador;index;index < sampleArray.length;retorno;
0;0;true;9093;
;;;;
;;;;
;;;;
;;;;
;;;;
"kata 17 ";;;;
array;index;index < arr.length;" if (arr[index] < array)";retorno
arr[0];0;true;true;17
;;;;
kata 18;;;;
array;index;index < arr.length;" if (arr[index] > array)";retorno
arr[0];0;true;true;940
;;;;